,Unnamed: 0,Date,Broke Lock,Time of Peak,Vert. Vel.,Horiz. Vel.,Ratio V/H,Time of Lost Lock (LL),LL Vert. Vel.,LL Horiz. Vel.
18,18,2019-09-15 07:17:00,No,1252567038,568.8731,1178.1801483738216,0.4828405068487912,-,-,-
19,19,2019-09-17 01:42:00,No,1252719738,186.03525,380.2156931419791,0.4892887204698602,-,-,-
20,20,2019-09-19 07:29:00,No,1252913358,207.24875,219.57681657673547,0.9438553360553564,-,-,-
21,21,2019-09-21 14:56:00,Yes,1253112978,521.7397,997.668474922206,0.5229589920045165,1253111778,50.341938,344.8099559629478
22,22,2019-09-23 18:38:00,No,1253299098,313.24866,737.0707033815582,0.4249913319887319,-,-,-
23,23,2019-09-24 03:45:00,Yes,1253331918,5219.7983,16423.52833564542,0.3178244158821229,1253331018,1649.531,850.2435559227032
24,24,2019-09-24 12:21:00,No,1253362878,428.17255,1247.736614882485,0.3431594015058429,-,-,-
25,25,2019-09-24 22:56:00,No,1253400978,492.84024,735.9635807970816,0.6696530274857241,-,-,-
26,26,2019-09-26 01:16:00,Yes,1253495778,1351.6765,3385.6818815004463,0.399233166998245,1253494578,767.0344,2309.327452489101
27,27,2019-09-26 11:54:00,No,1253534058,727.9024,1348.3461264624673,0.5398483265641375,-,-,-
28,28,2019-09-26 17:13:00,No,1253553198,142.31194,442.4781847712834,0.3216247600400027,-,-,-
29,29,2019-09-27 13:00:00,No,1253624418,493.5131,1920.559549733036,0.2569631855823476,-,-,-
30,30,2019-09-27 15:52:00,No,1253634738,193.93353,628.8751858095827,0.3083815904587483,-,-,-
31,31,2019-09-29 02:27:00,Yes,1253759238,500.0712,298.09672828719806,1.6775467576357022,1253759118,269.66663,109.77446131175365
32,32,2019-09-29 16:37:00,Yes,1253810238,3398.7393,7113.762535663259,0.477769574534036,1253809038,877.2993,1157.8569238484047
33,33,2019-09-29 21:20:00,No,1253827218,442.44833,1375.1978390950335,0.3217343115454273,-,-,-
0,0,2019-11-01 15:39:00,Yes,1256657958,1115.1843,2278.522629207492,0.4894330588184149,1256657718,221.31584,726.6234542825005
1,1,2019-11-02 19:09:00,Yes,1256756958,718.8206,2103.630210056398,0.3417048284264412,1256756718,603.45935,1189.1699227517624
