,ETMX_Z,ITMY_Z,ETMY_Z,ETMX_X,ITMY_Y,ETMY_Y
5457,24.601864,27.134575,28.39178,85.89763,73.15594,82.48296
5458,31.88767,27.819256,31.654263,84.92848,76.566284,84.08771
5459,34.141983,29.220867,31.895905,89.62675,79.80849,101.600624
5460,33.083385,28.953764,31.45571,86.2444,80.34805,104.81461
5461,35.74915,32.751553,32.191216,87.56221,79.0961,105.108
5462,49.447186,45.994087,44.23585,84.76495,86.51476,110.27654
5463,47.37321,44.413307,43.479206,76.65085,90.335724,112.65618
5464,40.98402,38.61164,38.276836,75.175354,95.21851,107.0382
5465,41.037945,37.135494,38.707954,81.39572,95.79805,107.33237
5466,47.297703,40.096516,43.581932,89.55761,88.32732,102.190445
5467,46.16186,40.080112,41.517593,92.222694,85.334526,103.20993
5468,45.135475,39.975155,41.97934,92.18746,83.152115,98.12205
5469,39.273235,35.63484,38.318253,87.36799,83.69085,90.35911
5470,40.41813,35.523724,38.024643,80.60091,89.58509,98.15425
5471,36.61415,31.501892,34.650295,73.36496,88.778984,104.5075
5472,35.228622,31.457289,34.242138,70.48291,87.171326,95.341934
5473,32.322956,29.11871,30.652544,72.90182,84.16993,82.55439
5474,32.304016,28.218952,28.782497,91.203575,82.335014,78.026184
5475,32.891197,28.729055,27.889395,89.40989,81.46507,84.83423
5476,35.25413,30.495098,33.183235,90.13994,85.81392,93.27193
5477,34.753372,29.865286,34.17956,84.80847,90.18987,103.70277
5478,37.172253,33.12226,36.701897,78.03371,97.92927,118.30763
5479,39.261593,37.345806,39.069397,78.28286,97.46583,119.09471
5480,37.801693,36.6342,38.215893,87.40879,95.84658,108.30567
5481,37.781647,35.91999,36.291245,87.64002,89.798355,99.64587
5482,39.42982,35.953392,35.610313,102.29864,91.11309,96.91842
5483,40.417126,36.89385,36.884018,114.99575,85.25807,86.0902
5484,41.7057,34.57735,36.214394,114.34826,76.45598,76.687744
5485,40.67349,34.403282,35.963726,105.44679,72.39903,87.65253
5486,37.812336,31.556093,33.827087,95.11339,73.07527,89.89354
5487,36.408783,31.331463,36.0032,90.80014,69.27704,85.9436
5488,39.89155,32.774982,36.702457,90.230415,65.27076,83.94141
5489,46.120205,39.595703,46.23829,99.34143,74.0058,85.63818
5490,46.081047,38.687057,45.289364,93.47489,81.32538,82.754814
5491,45.060493,38.571476,43.416424,88.49016,86.119385,86.48169
5492,41.790348,37.297966,39.481117,87.6612,82.35678,82.98297
